freecs.Server,uses,freecs.auth.AuthManager,0,1,0,Fail
freecs.content.MessageState,uses,freecs.core.MessageParser,0,1,0,Fail
freecs.core.MessageParser,uses,freecs.commands.CommandSet,0,1,0,Fail
freecs.interfaces.IRequest,uses,freecs.core.ConnectionBuffer,0,1,0,Fail
freecs.content.MessageState,uses,freecs.Server,0,0,0,Pass
source,type,target,isInstiationFailed,precondFailed,isCompilationFailed,result
freecs.Server,uses,freecs.core.RequestReader,0,1,0,Fail
freecs.core.RequestEvaluator,uses,freecs.external.WebadminRequestHandler,0,1,0,Fail
freecs.core.RequestEvaluator,uses,freecs.external.CmdConfirmHandler,0,1,0,Fail
freecs.auth.AuthManager,uses,freecs.commands.AbstractCommand,0,0,0,Pass
freecs.content.Connection,uses,freecs.Server,0,0,0,Pass
freecs.Server,uses,freecs.external.xmlrpc.XmlRpcManager,0,1,0,Fail
freecs.core.ConnectionBuffer,uses,freecs.Server,0,0,1,Fail
freecs.core.MessageParser,uses,freecs.layout.TemplateSet,0,1,0,Fail
freecs.core.Group,uses,freecs.Server,0,0,0,Pass
freecs.core.User,uses,freecs.layout.TemplateSet,0,1,0,Fail
freecs.core.RequestEvaluator,uses,freecs.external.StateRequestHandler,0,1,0,Fail
freecs.core.User,uses,freecs.auth.AuthManager,0,1,0,Fail
freecs.core.RequestEvaluator,uses,freecs.external.UserlistRequestHandler,0,1,0,Fail
freecs.interfaces.ICommand,uses,freecs.content.MessageState,0,1,0,Fail
freecs.Server,uses,freecs.commands.CommandSet,0,1,0,Fail
freecs.core.MessageParser,uses,freecs.commands.AbstractCommand,0,0,0,Pass
freecs.Server,uses,freecs.core.User,0,1,0,Fail
freecs.Server,uses,freecs.core.MessageParser,0,1,0,Fail
freecs.core.User,uses,freecs.Server,0,0,1,Fail
freecs.interfaces.IRequest,uses,freecs.content.Connection,0,1,0,Fail
freecs.external.xmlrpc.freecsXmlRpcHandler,uses,freecs.external.AdminCore,0,0,1,Fail
freecs.layout.Template,uses,freecs.commands.AbstractCommand,0,1,0,Fail
freecs.util.ObjectBuffer,uses,freecs.Server,0,0,0,Pass
freecs.Server,uses,freecs.core.UserManager,0,1,0,Fail
freecs.auth.AuthManager,uses,freecs.core.RequestReader,0,1,0,Fail
